meta_score,title,platform,date,user_score,link,esrb_rating,developers,genres
74.0,Sonic Colors: Ultimate,XONE,"Sep 7, 2021",6.8,/game/xbox-one/sonic-colors-ultimate,E,"['Sega', ' Blind Squirrel Entertainment']","['Action', 'Platformer', '2D', '3D']"
67.0,Sonic Colors: Ultimate,Switch,"Sep 7, 2021",5.3,/game/switch/sonic-colors-ultimate,E,"['Sega', ' Blind Squirrel Entertainment']","['Action', 'Platformer', '2D', '3D']"
74.0,Sonic Colors: Ultimate,PS4,"Sep 7, 2021",6.5,/game/playstation-4/sonic-colors-ultimate,E,"['Sega', ' Blind Squirrel Entertainment']","['Action', 'Platformer', '2D', '3D']"
77.0,Humankind,PC,"Aug 17, 2021",6.7,/game/pc/humankind,E10+,['Amplitude Studios'],"['Strategy', 'Turn-Based', 'General', '4X']"
69.0,Olympic Games Tokyo 2020: The Official Video Game,PS4,"Jun 22, 2021",4.8,/game/playstation-4/olympic-games-tokyo-2020-the-official-video-game,E10+,['Sega'],"['Sports', 'Individual', 'Athletics']"
67.0,Olympic Games Tokyo 2020: The Official Video Game,Switch,"Jun 22, 2021",6.4,/game/switch/olympic-games-tokyo-2020-the-official-video-game,E10+,['Sega'],"['Sports', 'Individual', 'Athletics']"
56.0,Olympic Games Tokyo 2020: The Official Video Game,PC,"Jun 22, 2021",4.8,/game/pc/olympic-games-tokyo-2020-the-official-video-game,E10+,['Sega'],"['Sports', 'Individual', 'Athletics']"
77.0,Virtua Fighter 5 Ultimate Showdown,PS4,"Jun 1, 2021",6.6,/game/playstation-4/virtua-fighter-5-ultimate-showdown,T,"['Sega', ' Ryu ga Gotoku Studios']","['Action', 'Fighting', '3D']"
75.0,Shin Megami Tensei III: Nocturne HD Remaster,Switch,"May 25, 2021",8.1,/game/switch/shin-megami-tensei-iii-nocturne-hd-remaster,M,['Atlus'],"['Role-Playing', 'Japanese-Style']"
79.0,Shin Megami Tensei III: Nocturne HD Remaster,PC,"May 25, 2021",7.5,/game/pc/shin-megami-tensei-iii-nocturne-hd-remaster,M,['Atlus'],"['Role-Playing', 'Japanese-Style']"
76.0,Shin Megami Tensei III: Nocturne HD Remaster,PS4,"May 24, 2021",7.7,/game/playstation-4/shin-megami-tensei-iii-nocturne-hd-remaster,M,"['Atlus Co.', ' Atlus']","['Role-Playing', 'Japanese-Style']"
75.0,Total War: Rome Remastered,PC,"Apr 29, 2021",5.5,/game/pc/total-war-rome-remastered,T,['Feral Interactive'],"['Strategy', 'Real-Time', 'General']"
87.0,Yakuza 6: The Song of Life,XONE,"Mar 25, 2021",7.3,/game/xbox-one/yakuza-6-the-song-of-life,M,['Ryu ga Gotoku Studios'],"['Action Adventure', 'Open-World']"
82.0,Yakuza 6: The Song of Life,PC,"Mar 25, 2021",7.7,/game/pc/yakuza-6-the-song-of-life,M,['Ryu ga Gotoku Studios'],"['Action Adventure', 'Open-World']"
81.0,Persona 5 Strikers,Switch,"Feb 23, 2021",8.4,/game/switch/persona-5-strikers,M,"['Omega Force', ' P-Studio']","['Role-Playing', 'Action RPG']"
83.0,Persona 5 Strikers,PS4,"Feb 19, 2021",8.0,/game/playstation-4/persona-5-strikers,M,['Omega Force'],"['Role-Playing', 'Action RPG']"
81.0,The Yakuza Remastered Collection,XONE,"Jan 28, 2021",8.3,/game/xbox-one/the-yakuza-remastered-collection,M,['Ryu ga Gotoku Studios'],"['Miscellaneous', 'Compilation']"
80.0,Puyo Puyo Tetris 2,Switch,"Dec 8, 2020",8.2,/game/switch/puyo-puyo-tetris-2,E10+,['Sega'],"['Puzzle', 'Matching']"
80.0,Puyo Puyo Tetris 2,PS4,"Dec 8, 2020",6.6,/game/playstation-4/puyo-puyo-tetris-2,E10+,['Sega'],"['Puzzle', 'Matching']"
85.0,Football Manager 2021,PC,"Nov 24, 2020",6.5,/game/pc/football-manager-2021,E,['Sports Interactive'],"['Sports', 'Team', 'Soccer', 'Management']"
84.0,Yakuza: Like a Dragon,PS4,"Nov 10, 2020",8.1,/game/playstation-4/yakuza-like-a-dragon,M,['Ryu ga Gotoku Studios'],"['Role-Playing', 'Japanese-Style']"
83.0,Yakuza: Like a Dragon,PC,"Nov 10, 2020",7.9,/game/pc/yakuza-like-a-dragon,M,['Ryu ga Gotoku Studios'],"['Role-Playing', 'Japanese-Style']"
89.0,Yakuza: Like a Dragon,XONE,"Nov 10, 2020",8.5,/game/xbox-one/yakuza-like-a-dragon,M,['Sega'],"['Role-Playing', 'Japanese-Style']"
75.0,A Total War Saga: TROY,PC,"Aug 13, 2020",6.1,/game/pc/a-total-war-saga-troy,T,['Creative Assembly'],"['Strategy', 'Real-Time', 'General']"
88.0,Yakuza Kiwami 2,XONE,"Jul 29, 2020",8.3,/game/xbox-one/yakuza-kiwami-2,M,['Ryu ga Gotoku Studios'],"['Action Adventure', 'Open-World']"
87.0,Persona 4 Golden,PC,"Jun 13, 2020",8.9,/game/pc/persona-4-golden,M,['Atlus'],"['Role-Playing', 'Japanese-Style']"
79.0,Hatsune Miku: Project Diva MegaMix,Switch,"May 15, 2020",8.6,/game/switch/hatsune-miku-project-diva-megamix,T,['Sega AM2'],"['Action', 'Rhythm', 'Music']"
74.0,Sega Ages: G-LOC Air Battle,Switch,"Apr 30, 2020",7.4,/game/switch/sega-ages-g-loc-air-battle,E10+,"['M2', ' Sanritsu']","['Simulation', 'Flight', 'Combat']"
73.0,Sakura Wars,PS4,"Apr 28, 2020",7.7,/game/playstation-4/sakura-wars,T,['Sega'],"['Strategy', 'Turn-Based', 'Tactics', 'Action', ""Beat-'Em-Up"", '3D']"
81.0,Yakuza Kiwami,XONE,"Apr 22, 2020",8.0,/game/xbox-one/yakuza-kiwami,M,['Ryu ga Gotoku Studios'],"['Action Adventure', 'Open-World']"
63.0,Panzer Dragoon,Switch,"Mar 26, 2020",7.5,/game/switch/panzer-dragoon,T,"['Forever Entertainment', ' MegaPixel Studio']","['Action', 'Shooter', 'Rail']"
